id,word
0,a
1,ab
2,abandon
3,abandonne
4,abandonnee
5,abandonner
6,abbaye
7,abbe
8,abc
9,abd
10,abdallah
11,abel
12,abord
13,aboutit
14,abraham
15,abrege
16,abreviation
17,abrite
18,absence
19,absolu
20,absolue
21,absolument
22,abu
23,abus
24,ac
25,academicien
26,academie
27,academy
28,accede
29,acceder
30,accent
31,accepte
32,accepter
33,acces
34,accessible
35,accessibles
36,accident
37,accidents
38,accompagne
39,accompagnee
40,accord
41,accorde
42,accords
43,accueille
44,accueilli
45,accueillir
46,accuse
47,accuses
48,achete
49,acheter
50,acheve
51,achevee
52,achille
53,acide
54,acides
55,acier
56,acoustique
57,acquiert
58,acquis
59,acquise
60,acronyme
61,act
62,acte
63,actes
64,acteur
65,acteurs
66,actif
67,actifs
68,action
69,actions
70,active
71,activement
72,activite
73,activites
74,actrice
75,actuel
76,actuelle
77,actuellement
78,actuelles
79,actuels
80,ad
81,adam
82,adams
83,adaptation
84,adapte
85,adaptee
86,adaptees
87,adaptes
88,adjectif
89,adjectifs
90,adjoint
91,admet
92,administrateur
93,administratif
94,administratifs
95,administration
96,administrations
97,administrative
98,administratives
99,admis
100,adn
101,adolf
102,adolphe
103,adopte
104,adoptee
105,adopter
106,adoption
107,adresse
108,adrien
109,adulte
110,adultes
111,advance
112,adventure
113,adversaire
114,adversaires
115,aerien
116,aerienne
117,aeriennes
118,aeronautique
119,aeronefs
120,aeroport
121,aeroports
122,affaire
123,affaires
124,affecte
125,affirme
126,affirment
127,affluent
128,affluents
129,afghanistan
130,afin
131,africain
132,africaine
133,africains
134,afrique
135,ag
136,agave
137,age
138,agence
139,agent
140,agents
141,agglomeration
142,agir
143,agissait
144,agit
145,agnes
146,agrave
147,agreable
148,agricole
149,agricoles
150,agriculture
151,ahmed
152,aide
153,aider
154,aigu
155,aile
156,ailes
157,ailleurs
158,aime
159,ain
160,aine
161,ainsi
162,air
163,airbus
164,aire
165,aires
166,airlines
167,airport
168,airways
169,aisement
170,aisne
171,aita
172,ajoutant
173,ajoute
174,ajouter
175,ak
176,al
177,al-aziz
178,al-rahman
179,alabama
180,alain
181,alan
182,albert
183,alberto
184,albin
185,album
186,albums
187,alcool
188,aleatoire
189,alentours
190,alex
191,alexander
192,alexandre
193,alexandrie
194,alexis
195,alfred
196,algebre
197,algebrique
198,alger
199,algerie
200,algorithme
201,algorithmes
202,ali
203,alias
204,alice
205,align
206,aligncenter
207,alignleft
208,alignright
209,alimentaire
210,alimentaires
211,alimentation
212,aliments
213,all
214,alla
215,allaient
216,allait
217,allant
218,allemagne
219,allemand
220,allemande
221,allemandes
222,allemands
223,allen
224,aller
225,alliance
226,allie
227,allier
228,allies
229,allusion
230,aloe
231,alpes
232,alpes-de-haute-provence
233,alpes-maritimes
234,alpha
235,alphabet
236,alphabetique
237,alphonse
238,alpin
239,alsace
240,also
241,alternatif
242,alternative
243,altitude
244,am
245,amas
246,amateur
247,amateurs
248,ambassade
249,ambassadeur
250,ame
251,amelioration
252,ameliorer
253,amendement
254,amene
255,america
256,americain
257,americaine
258,americaines
259,americains
260,american
261,amerique
262,ameriques
263,ami
264,amie
265,amis
266,amitie
267,amont
268,amour
269,amoureuse
270,amoureux
271,amsterdam
272,an
273,analogique
274,analyse
275,analyses
276,analytique
277,anarchiste
278,anarchistes
279,anatomie
280,ancetre
281,ancetres
282,ancien
283,ancienne
284,anciennement
285,anciennes
286,anciens
287,and
288,anderson
289,andes
290,andre
291,andrew
292,andy
293,anecdotes
294,angel
295,angeles
296,anges
297,anglais
298,anglaise
299,anglaises
300,angle
301,angles
302,angleterre
303,anglophone
304,angouleme
305,angulaire
306,animal
307,animale
308,animateur
309,animation
310,animaux
311,anime
312,animee
313,animes
314,anjou
315,ann
316,anna
317,anne
318,anneau
319,anneaux
320,annecy
321,annee
322,annees
323,annexe
324,annie
325,anniversaire
326,annonce
327,annuel
328,annuelle
329,anomalie
330,anomalies
331,ans
332,antenne
333,anterieure
334,anthony
335,antilles
336,antioche
337,antique
338,antiques
339,antiquite
340,antoine
341,anton
342,antonio
343,anvers
344,aoc
345,aou
346,ap
347,apogee
348,apollo
349,apostolique
350,apotre
351,apparaissent
352,apparait
353,apparaitre
354,appareil
355,appareils
356,apparemment
357,apparence
358,apparente
359,apparition
360,apparitions
361,appartenait
362,appartenant
363,appartiennent
364,appartient
365,apparu
366,apparue
367,appel
368,appele
369,appelee
370,appelees
371,appeler
372,appeles
373,appellation
374,appelle
375,apple
376,application
377,applications
378,applique
379,appliquee
380,appliquees
381,appliquer
382,apporte
383,apporter
384,apprecie
385,apprend
386,apprendre
387,apprentissage
388,appris
389,approche
390,approximativement
391,appui
392,appuie
393,apres
394,aquitaine
395,arabe
396,arabes
397,arabie
398,aragon
399,arbre
400,arbres
401,arbustes
402,arc
403,arcade
404,archeologique
405,archeologiques
406,archeveque
407,archipel
408,architecte
409,architectes
410,architecture
411,archives
412,ardennes
413,are
414,argent
415,argentine
416,argument
417,arguments
418,ariane
419,ariege
420,aristote
421,arithmetique
422,arles
423,armand
424,arme
425,armee
426,armees
427,armenie
428,armes
429,armstrong
430,army
431,arnaud
432,arnold
433,arret
434,arrete
435,arreter
436,arretes
437,arriere
438,arriva
439,arrive
440,arrivee
441,arrivent
442,arriver
443,arrondissement
444,arrondissements
445,art
446,arterielle
447,arthur
448,article
449,articles
450,artificiel
451,artificielle
452,artillerie
453,artisans
454,artiste
455,artistes
456,artistique
457,artistiques
458,artois
459,arts
460,ascension
461,asiatique
462,asie
463,aspect
464,aspects
465,assassinat
466,assassine
467,assaut
468,assemblee
469,assemblees
470,assez
471,assistant
472,assiste
473,association
474,associations
475,associe
476,associee
477,associees
478,associes
479,assurant
480,assure
481,assuree
482,assurent
483,assurer
484,asteroide
485,astronome
486,astronomie
487,astronomique
488,at
489,atari
490,atelier
491,ateliers
492,athenes
493,athlete
494,athletes
495,athletisme
496,atlantique
497,atlas
498,atmosphere
499,atmospherique
500,atome
501,atomes
502,atomique
503,atomiques
504,attache
505,attaque
506,attaquer
507,attaques
508,atteignent
509,atteindre
510,atteint
511,atteinte
512,atteintes
513,attendant
514,attendre
515,attentat
516,attentats
517,attention
518,attire
519,attitude
520,attribue
521,attribuee
522,attribuer
523,au-dela
524,au-dessus
525,aube
526,aucune
527,audio
528,augmentation
529,augmente
530,augmentee
531,augmenter
532,august
533,auguste
534,augustin
535,augustus
536,aujourhui
537,auparavant
538,aupres
539,auquel
540,aussitot
541,australie
542,australien
543,autant
544,auteur
545,auteurs
546,automatique
547,automatiquement
548,automne
549,automobile
550,automobiles
551,autonome
552,autonomes
553,autonomie
554,autorise
555,autorite
556,autorites
557,autoroute
558,autour
559,autrefois
560,autrement
561,autres
562,autriche
563,autrichien
564,autrichienne
565,auvergne
566,auxquelles
567,auxquels
568,av
569,avance
570,avancee
571,avancees
572,avantage
573,avantages
574,avenir
575,aventure
576,aventures
577,avenue
578,aveugle
579,aviation
580,avignon
581,avion
582,avis
583,avocat
584,avr
585,avril
586,award
587,awards
588,axe
589,axes
590,axiomes
591,azur
592,b
593,baby
594,babylone
595,bac
596,bach
597,back
598,background
599,bacteries
600,bad
601,bagdad
602,baie
603,baies
604,bain
605,baisse
606,baker
607,balance
608,bale
609,ball
610,balle
611,balles
612,ballon
613,baltimore
614,baltique
615,ban
616,band
617,bande
618,bandes
619,bangladesh
620,bank
621,banlieue
622,banque
623,banques
624,bapteme
625,baptise
626,bar
627,barbara
628,barbares
629,barcelone
630,baron
631,baroque
632,barrage
633,barre
634,barres
635,barriere
636,barry
637,bas
638,bas-rhin
639,base
640,baseball
641,basee
642,basees
643,bases
644,basilique
645,basket-ball
646,basque
647,basse
648,basse-normandie
649,basses
650,bassin
651,bassiste
652,bat
653,bataille
654,batailles
655,bataillon
656,bataillons
657,bateau
658,bateaux
659,batiment
660,batiments
661,batman
662,baton
663,battant
664,batterie
665,batteur
666,battle
667,battre
668,battu
669,baudouin
670,baviere
671,bay
672,bbc
673,bc
674,bd
675,be
676,beach
677,beatles
678,beatrice
679,beau
680,beaucoup
681,beaumont
682,beaute
683,beaux
684,beaux-arts
685,bebe
686,bec
687,becker
688,been
689,beethoven
690,bel
691,belfort
692,belge
693,belges
694,belgique
695,bell
696,belle
697,belles
698,belluzzi
699,bemol
700,ben
701,benedictine
702,benefice
703,benefices
704,beneficie
705,beneficier
706,bengale
707,benin
708,benjamin
709,benoit
710,berkeley
711,berlin
712,bernard
713,berne
714,berry
715,bertrand
716,besancon
717,besoin
718,besoins
719,best
720,bete
721,beton
722,beurre
723,beyrouth
724,bgcolor
725,biais
726,bible
727,bibliographie
728,bibliotheque
729,bibliotheques
730,bien
731,biens
732,bientot
733,biere
734,big
735,bilan
736,bill
737,billet
738,billets
739,billy
740,binaire
741,binomial
742,biographie
743,biologie
744,biologique
745,biologiques
746,birmanie
747,bis
748,bissextile
749,bit
750,bits
751,black
752,blake
753,blanc
754,blanche
755,blanches
756,blancs
757,ble
758,blesse
759,blesses
760,blessure
761,blessures
762,bleu
763,bleue
764,bleus
765,blindage
766,blindes
767,bloc
768,blockquote
769,blocs
770,blois
771,blood
772,blue
773,blues
774,bob
775,bobby
776,boeing
777,boeuf
778,boheme
779,boire
780,bois
781,boisson
782,boite
783,boleslas
784,bolivie
785,bologne
786,bombardement
787,bombardements
788,bombe
789,bombes
790,bonaparte
791,bond
792,bonheur
793,bonne
794,bonnes
795,bons
796,book
797,bord
798,bordeaux
799,border
800,bords
801,bordure
802,boris
803,bornes
804,boston
805,botanique
806,botaniste
807,both
808,bouche
809,bouches-du-rhone
810,boucle
811,bouclier
812,bouddha
813,bouddhisme
814,boule
815,boulenger
816,boules
817,boulevard
818,boulogne
819,bourbon
820,bourg
821,bourgeois
822,bourgeoisie
823,bourges
824,bourgogne
825,bourse
826,bout
827,bouteille
828,boxe
829,boy
830,boys
831,br
832,brabant
833,branche
834,branches
835,bras
836,break
837,bref
838,bresil
839,bresilien
840,brest
841,bretagne
842,breton
843,bretonne
844,bretons
845,breve
846,brevet
847,brevets
848,brian
849,bridge
850,brievement
851,brigade
852,brigitte
853,brillant
854,brillante
855,briques
856,britannique
857,britanniques
858,british
859,broadcasting
860,bronze
861,brothers
862,brown
863,bruce
864,bruit
865,brun
866,brune
867,bruno
868,brut
869,brute
870,bruxelles
871,budget
872,buenos
873,bulgarie
874,bulle
875,bureau
876,bureaux
877,burkina
878,burton
879,bus
880,bush
881,business
882,but
883,butler
884,buts
885,bwv
886,by
887,byzance
888,byzantin
889,c
890,cabinet
891,cable
892,cache
893,cacher
894,cadavre
895,cadence
896,cadet
897,cadre
898,cadres
899,caen
900,caesar
901,cafe
902,caire
903,caisse
904,calcaire
905,calcium
906,calcul
907,calculer
908,calculs
909,calendrier
910,calibre
911,calife
912,california
913,californie
914,calme
915,calvados
916,cambodge
917,cambridge
918,camera
919,cameroun
920,camille
921,camp
922,campagne
923,campagnes
924,campbell
925,camps
926,campus
927,can
928,canada
929,canadien
930,canadienne
